2023-03-31 17:05:01,28457.86
2023-03-31 17:10:02,28419.73
2023-03-31 17:15:02,28467.61
2023-03-31 17:20:01,28427.42
2023-03-31 17:25:01,28403.78
2023-03-31 17:30:02,28412.99
2023-03-31 17:35:01,28402.46
2023-03-31 17:40:02,28370.22
2023-03-31 17:45:02,28324.36
2023-03-31 17:50:01,28327.85
2023-03-31 17:55:02,28322.15
2023-03-31 18:00:01,28328.50
2023-03-31 18:05:02,28358.31
2023-03-31 18:10:01,28382.82
2023-03-31 18:15:02,28344.82
2023-03-31 18:20:01,28332.53
2023-03-31 18:25:02,28308.56
2023-03-31 18:30:01,28343.53
